iter	Passed	Remaining
0	148	148381
1	229	114712
2	311	103398
3	391	97584
4	472	94025
5	552	91481
6	631	89618
7	714	88574
8	794	87444
9	885	87638
10	972	87477
11	1052	86673
12	1133	86026
13	1211	85351
14	1293	84925
15	1374	84505
16	1457	84288
17	1535	83791
18	1614	83347
19	1696	83105
20	1774	82735
21	1856	82512
22	1944	82603
23	2023	82307
24	2107	82196
25	2207	82679
26	2304	83038
27	2404	83456
28	2511	84097
29	2606	84278
30	2700	84410
31	2786	84281
32	2870	84119
33	2961	84136
34	3046	84008
35	3133	83895
36	3215	83677
37	3298	83511
38	3378	83239
39	3457	82982
40	3540	82811
41	3621	82602
42	3700	82366
43	3777	82065
44	3859	81906
45	3939	81702
46	4019	81493
47	4102	81372
48	4184	81218
49	4270	81132
50	4350	80955
51	4431	80787
52	4508	80558
53	4588	80384
54	4666	80182
55	4748	80042
56	4824	79823
57	4904	79658
58	4981	79448
59	5057	79227
60	5140	79131
61	5219	78962
62	5299	78814
63	5376	78638
64	5452	78427
65	5531	78282
66	5609	78120
67	5689	77978
68	5766	77809
69	5845	77656
70	5925	77534
71	6002	77363
72	6081	77220
73	6165	77146
74	6243	77007
75	6318	76825
76	6397	76692
77	6475	76541
78	6551	76376
79	6627	76219
80	6707	76099
81	6782	75926
82	6858	75778
83	6935	75632
84	7013	75495
85	7090	75353
86	7169	75238
87	7248	75125
88	7327	75001
89	7404	74866
90	7482	74739
91	7559	74611
92	7635	74471
93	7712	74332
94	7794	74251
95	7870	74113
96	7947	73987
97	8025	73865
98	8101	73735
99	8181	73629
100	8257	73501
101	8341	73435
102	8418	73315
103	8494	73183
104	8573	73075
105	8650	72955
106	8726	72827
107	8804	72721
108	8881	72603
109	8960	72500
110	9037	72382
111	9126	72361
112	9205	72255
113	9283	72147
114	9363	72057
115	9441	71948
116	9518	71832
117	9594	71714
118	9669	71589
119	9754	71534
120	9841	71490
121	9927	71443
122	10012	71387
123	10093	71308
124	10172	71210
125	10254	71132
126	10337	71058
127	10422	71002
128	10510	70964
129	10597	70921
130	10687	70896
131	10781	70894
132	10869	70857
133	10971	70905
